node_id,type,distance_to_root
508,slab,15369.588373109611
509,branch,15482.72545809946
510,slab,15557.558605834938
511,slab,15602.279965384934
512,branch,15655.679704976204
513,slab,15736.448284500766
514,slab,15808.559310010045
515,branch,15908.559310010045
516,slab,15991.021422522399
517,slab,16093.001812794255
518,slab,16180.179791665068
519,slab,16273.988106861538
520,slab,16361.166085732351
521,slab,16448.344064603163
522,slab,16568.344064603163
523,slab,16697.185051870416
524,slab,16839.311755905936
525,slab,16899.311755905936
526,slab,16993.120071102403
527,slab,17062.40210340516
528,slab,17137.23525114064
529,slab,17228.886765039755
530,slab,17288.886765039755
531,slab,17390.86715531161
532,slab,17473.329267823963
533,branch,17618.941362756712
534,branch,17718.885533955272
535,branch,17782.31309969071
536,branch,17899.29799655766
537,branch,17955.129992757164
538,branch,18021.970896472285
539,branch,18079.794161048925
540,slab,18138.416611702076
541,slab,18158.416611702076
542,slab,18203.137971252072
543,branch,18307.061019706205
544,slab,18387.061019706205
545,slab,18421.702035857583
546,slab,18441.702035857583
547,slab,18476.34305200896
548,slab,18510.98406816034
549,slab,18539.2683394078
550,slab,18573.90935555918
551,slab,18622.899150414843
552,slab,18705.361262927196
553,branch,18745.361262927196
554,slab,18765.361262927196
555,slab,18785.361262927196
556,slab,18805.361262927196
557,slab,18825.361262927196
558,slab,18845.361262927196
559,slab,18865.361262927196
560,end,18925.361262927196
561,slab,40055.29522737537
562,slab,40135.29522737537
563,branch,40296.54038234134
564,slab,40388.19189624046
565,slab,40432.91325579045
566,slab,40477.634615340445
567,slab,40512.27563149182
568,slab,40540.55990273928
569,slab,40575.20091889066
570,slab,40609.84193504204
571,slab,40649.84193504204
572,slab,40709.84193504204
573,slab,40797.01991391285
574,slab,40857.01991391285
575,slab,40985.08239866151
576,slab,41045.08239866151
577,slab,41119.91554639699
578,slab,41223.83859485112
579,slab,41272.82838970678
580,slab,41352.82838970678
581,slab,41437.68120344917
582,slab,41552.57245637993
583,slab,41637.425270122316
584,slab,41726.86798922231
585,slab,41766.86798922231
586,slab,41833.20048502942
587,slab,41951.52208069141
588,slab,42036.37489443379
589,slab,42099.620447637164
590,slab,42191.27196153628
591,slab,42276.124775278666
592,slab,42358.58688779102
593,slab,42403.30824734101
594,slab,42526.59652740039
595,slab,42653.087633807125
596,slab,42774.74288441309
597,slab,42837.98843761646
598,slab,42897.98843761646
599,slab,42961.233990819834
600,slab,43043.696103332186
601,slab,43170.18720973892
602,slab,43252.64932225127
603,slab,43337.50213599366
604,slab,43377.50213599366
605,slab,43452.33528372914
606,slab,43501.3250785848
607,slab,43662.570233550774
608,branch,43962.04887284067
609,branch,44076.95455053299
610,branch,44212.60115019549
611,branch,44266.903242844695
612,branch,44333.235738651805
613,slab,44414.73826976945
614,slab,44521.74294256461
615,end,44541.74294256461
616,slab,14614.941318867186
617,branch,14817.975861995763
618,branch,14941.614607441134
619,slab,15148.041218947767
620,slab,15248.041218947767
621,slab,15441.94841324442
622,slab,15587.55061103003
623,branch,15766.067809090062
624,branch,15825.75779800231
625,branch,15851.922788351452
626,branch,15882.494223032316
627,branch,15950.428834862572
628,branch,15998.813020845986
629,branch,16075.839443370976
630,slab,16138.78987837343
631,branch,16210.048014992728
632,branch,16262.406337248643
633,slab,16348.42958991907
634,slab,16430.89170243142
635,slab,16538.59499857411
636,branch,16614.91668618648
637,slab,16673.440185740077
638,branch,16799.9732969934
639,branch,16819.940147482306
640,branch,16930.13352917307
641,branch,16943.500148937743
642,branch,16988.86177191218
643,slab,17008.828622401084
644,slab,17028.828622401084
645,slab,17063.469638552462
646,slab,17098.11065470384
647,branch,17147.100449559504
648,slab,17265.422045221498
649,slab,17310.143404771494
650,slab,17366.711947266416
651,slab,17411.433306816412
652,slab,17439.717578063875
653,slab,17474.358594215253
654,slab,17494.358594215253
655,slab,17528.99961036663
656,slab,17548.99961036663
657,slab,17597.989405222295
658,slab,17632.630421373673
659,branch,17684.108572078607
660,slab,17722.187437607925
661,slab,17742.187437607925
662,slab,17762.187437607925
663,slab,17811.17723246359
664,branch,17884.291807593974
665,slab,17941.78670277169
666,slab,17961.78670277169
667,slab,17981.78670277169
668,slab,18016.427718923067
669,end,18044.71199017053
670,slab,12860.656609417432
671,slab,13007.625993984422
