segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
194,824.8051499183905,1.0163096776836695,50882.37142379307,4,61.404467264811196,46.56850051879883,74.39070129394531,9795741.094799895
195,93.37771677373121,1.0040034034127752,17299.477816514533,1,20.805166244506836,10.0,34.13119888305664,152991.14672050055
196,185.50096570623492,1.0012818334485707,17815.50152600283,1,41.29473304748535,10.0,95.59989929199219,1957771.7606634083
197,61.94760779788169,1.1041722443665312,18009.006191494533,1,15.01783307393392,10.0,25.053499221801758,49253.55967159321
198,145.1879749557035,1.03678237321364,17618.941362756712,1,26.1038335164388,10.0,58.311500549316406,508774.1824547071
199,1154.161500310364,1.0186947466790495,51707.176573711455,4,61.47137747870551,46.56850051879883,74.39070129394531,13382642.994159538
200,189.58725777629374,1.0267751548144533,17907.741807807637,1,39.53466669718424,21.63949966430664,50.0,957429.9447293738
201,197.21882077087628,1.0096750132559222,52861.33807402181,4,77.48736572265625,70.0,90.0,4047952.199388409
202,74.64101615137756,1.1252556428415337,16957.85173613541,1,10.0,10.0,10.0,23449.167353451587
203,161.04259027839078,1.3157847606959137,17175.117839117673,1,23.333333333333332,10.0,30.0,353764.4402100623
204,714.3110554629827,1.0224490025964261,53058.55689479269,4,65.27737960815429,53.245601654052734,72.46209716796875,9721269.714919329
205,86.02987709294032,1.0000000044630535,53772.86795025567,4,85.60810089111328,60.67919921875,110.53700256347656,2036733.1226510196
206,113.21024367101617,1.000000003938853,53858.897827348614,4,97.23755264282227,83.93810272216797,110.53700256347656,3383789.29823867
207,208.84775098897796,1.0095037154887572,17774.67590105468,1,43.26803461710612,10.0,85.08270263671875,1847493.9290826702
208,160.7564786911528,1.1090660370092398,17840.535569333675,1,26.344300587972004,10.0,39.032901763916016,431848.81817473535
209,74.85063198787859,1.0978085656039205,17861.01004844179,1,13.165833155314127,10.0,18.284299850463867,50392.71012225932
210,504.7361722352106,1.0662810992928407,53972.10807101963,4,63.77008056640625,50.0,83.93810272216797,6040383.48922299
211,222.4797143153963,1.0000000382275291,54476.84424325485,4,79.68499946594238,61.66669845581055,97.70330047607422,4513701.745675317
212,220.4672874699563,1.0000000104945561,54699.32395757025,4,90.42219924926758,83.14109802246094,97.70330047607422,5675208.254045454
213,117.68184297896354,0.9999999690717906,54919.7912450402,3,82.43304824829102,81.7249984741211,83.14109802246094,2512307.22264147
214,190.2831096467456,0.9999999898807623,55037.473088019164,3,60.388898849487305,39.052799224853516,81.7249984741211,2270750.163306572
215,73.0056307974577,1.1006012813040833,17124.673828491304,1,19.42809995015462,10.0,30.0,101774.11028222054
216,102.46211251235322,1.0457495390628233,17270.041108200316,1,16.666666666666668,10.0,30.0,118543.54416691867
217,103.92304845413264,0.9999999858296579,16972.393356718898,1,21.00190035502116,10.0,34.72140121459961,180170.29697462945
218,94.64101615137756,1.0088766621634475,17700.34521357468,1,15.522866566975912,10.0,18.284299850463867,85405.04931253224
219,109.1573820740482,1.0185764142669167,17655.069019135106,1,15.979433059692383,10.0,19.65399932861328,106660.54563049169
220,152.43832881104677,1.0108804925147516,17701.913328291168,1,38.559465408325195,10.0,87.39409637451172,1340178.1909527234
221,124.80094323614456,1.051129207542491,17535.99670321637,1,26.745633443196613,20.236900329589844,30.0,311876.088080861
222,124.19546886032998,1.083448010321972,17230.106551636156,1,21.52286656697591,18.284299850463867,28.0,189272.13358522576
223,77.06742302257041,1.048754745009321,16650.035575925787,1,12.761433283487955,10.0,18.284299850463867,49807.67437491403
224,113.13708498984761,1.0327955741993404,17387.495401689488,1,15.522866566975912,10.0,18.284299850463867,107399.2667605821
225,91.20955864630136,1.0462453959052718,17413.530162141935,1,19.42809995015462,10.0,30.0,128000.97172253781
226,144.74299385416361,1.0108142163313794,17505.00261320219,1,40.43820063273112,34.72140121459961,51.87179946899414,756829.9916452303
227,77.84523823610382,1.079664903763171,17073.352492143305,1,10.0,10.0,10.0,24455.802697559353
228,75.87207240755416,1.083886748679345,17118.737957794823,1,14.142133394877115,10.0,18.284299850463867,56622.8299989522
229,76.5685424949238,1.0618146763615333,16264.144756359565,1,12.761433283487955,10.0,18.284299850463867,42842.69864224841
230,128.2842712474619,1.0017318616509678,16915.194205067954,1,30.13176663716634,10.0,62.111000061035156,576200.2329059539
231,118.38917409153875,1.0867824490689264,17061.36339490888,1,22.320233662923176,10.0,46.96070098876953,270720.130450732
232,168.80509480136493,1.008803421117869,17395.035806592437,1,33.58213233947754,10.0,72.46209716796875,993216.0040399176
233,90.03320734816137,1.052294973990816,16870.58935436731,1,18.816433588663738,10.0,28.165000915527344,117667.32159378461
234,2000.2809387849043,1.3763645653142464,55227.75619766591,2,26.05151393678453,18.284299850463867,61.2244987487793,5397820.662735211
235,152.5506299490838,1.031950177285188,16860.890346409047,1,43.80866622924805,30.0,54.85749816894531,1067688.500311445
236,161.65337742318513,1.0015786218154432,17367.95716387275,1,45.90999984741211,30.0,73.00859832763672,1163341.958535636
237,113.13708498984761,1.0000000002555316,17491.529956351027,1,22.18950017293294,10.0,46.56850051879883,251850.17258210023
238,97.566303550217,1.0400603318536528,17047.033617659687,1,19.42809995015462,10.0,30.0,147628.66052848095
239,822.388764415902,1.0713856062536697,57228.03713645082,1,51.434325218200684,30.0,74.89350128173828,7972380.537783589
240,94.64101615137756,1.0088766621634475,17442.540161495363,1,21.00190035502116,10.0,34.72140121459961,159031.4757705066
241,370.3456919285853,1.0080495886571927,10799.884008919236,6,68.1697998046875,64.5093994140625,70.0,5459478.643278867
